"Timestamp","Nombre del codificador","Fecha de captura","1. Nombre del medio","2. Fecha de publicación","3. Autor(a)","4. Lugar de la edición","5. Título de la nota","6. Recursos técnicos","7. Género periodístico","8. Valoración general de la nota","8.1 Transcribe el sustento para la valoración general (positiva o negativa) de la nota. En caso de que sea neutral, escribe N/A. ","9. ¿Hay símbolos políticos presentes en la nota periodística (texto y/o imagen)? ","9.1 ¿Cuáles?","10. ¿Se habla de algún colectivo en la nota?","10.1 ¿Cuál colectivo se menciona en la nota? ","11. ¿La nota tiene alguno de los siguientes elementos? ","Transcribe lo que sustenta la respuesta anterior","12. ¿La nota reporta un conflicto dentro de la marcha? ","12.1 ¿Quién es el actor involucrado en el que se enfoca la pieza? ","13. ¿La nota reporta un conflicto fuera de la marcha? ","13.1 ¿Quién es el actor involucrado en el que se enfoca la pieza? ","14. ¿La nota recupera el contenido de los carteles? ","14.1 Transcribe el contenido de los carteles que recupera la pieza. ","¿La nota recupera el contenido de las pintas? ","Transcribe el contenido de los pintas que recupera la pieza. ","¿La nota recupera el contenido de consignas? ","Transcribe las consignas que recupera la pieza. ","¿Tiene foto de un cartel/ pinta? ","Haz una descripción breve de la fotografía. "
"2025/04/03 12:07:21 PM CST","Diego Aguirre","2025-04-03","Mega Noticias","2025-03-08","Karla Solorio","Local","Feministas tumban puerta de Palacio, gritan ""Indira no es aliada""","Fotografía","Nota informativa","Negativa","La nota manifiestan desconformidad con las actitudes de las manifestantes.","Sí","Colores","No","","No contiene","","Sí","Manifestantes","Sí","Actor político","Sí","""Estar de suerte es estar viva"" ""Yo soy valiente, quiero ser libre"" ""Quiero ver a mis amigas egresadas no enterradas""","Sí","No nos representan","No","","Sí","""Estar de suerte es estar viva"" ""Yo soy valiente, quiero ser libre"" ""Quiero ver a mis amigas egresadas no enterradas"""
"2025/04/03 12:25:23 PM CST","Diego Aguirre","2025-04-03","UDG TV","2025-03-07","Elisabeth Ortiz","Local","Esperan a más de 65 mil mujeres en marcha del 8M en Jalisco","Fotografía","Nota informativa","Neutral","N/A","Sí","Colores","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/03 12:28:27 PM CST","Diego Aguirre","2025-04-03","UDG TV","2025-03-03","RadioUDG","Local","Punto Cinco - Lu. 03 Mar 2025 - #LunesDeEllas","Fotografía;Audio","De opinión y/o análisis","Positiva","Opinan de manera positiva.","No","","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/03 12:31:44 PM CST","Diego Aguirre","2025-04-03","UDG TV","2025-03-10","RadioUDG","Local","Cosa Pública 2.0","Fotografía;Audio","Debate","Neutral","N/A","No","","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/03 12:52:31 PM CST","Diego Aguirre","2025-04-03","Tráfico ZMG","2025-03-06","AMH","Local","450 mujeres de la Policía Vial resguardarán las marchas del 8M","Fotografía","Nota informativa","Neutral","N/A","Sí","Banderas;Colores","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/07 10:35:38 AM CST","Diego Aguirre","2025-04-07","El Occidental","2025-04-09","Diego Villaseñor","Local","“No es desfile, es protesta”: El eco de las mujeres retumba en Guadalajara","Fotografía","Reportaje o crónica","Positiva","Retratan la marcha de manera positiva.","Sí","Banderas;Colores","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/07 10:42:19 AM CST","Diego Aguirre","2025-04-07","El Occidental","2025-03-08","Viridiana Saavedra","Local","","Fotografía;Video","Nota informativa","Negativa","N/A","Sí","Colores;Logos de colectivos","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/07 10:46:56 AM CST","Diego Aguirre","2025-04-07","El Occidental","2025-02-25","Janeth González","Local","8M Guadalajara 2025: Conoce las rutas para salir a marchar","Fotografía;Gráfica","Nota informativa","Neutral","N/A","Sí","Colores","Sí","","No contiene","","No","","No","","No","","No","","No","","No","¿Te cansas de oírlo? Nosotras de vivirlo"
"2025/04/07 10:51:43 AM CST","Diego Aguirre","2025-04-07","El Occidental","2025-04-08","Viridiana Saavedra y Rosario Bareño y Román Ortega","Local","8M en Guadalajara: Mujeres exigen justicia por feminicidios y víctimas en Teuchitlán","Fotografía;Gráfica","Nota informativa","Neutral","N/A","Sí","Banderas;Colores","No","","No contiene","","No","","No","","No","“Ni sumisa ni callada, mujer fuerte empoderada”","No","","Sí","“Ni sumisa ni callada, mujer fuerte empoderada”","Sí","“Ni sumisa ni callada, mujer fuerte empoderada”"
"2025/04/07 11:18:42 AM CST","Diego Aguirre","2025-04-07","El Occidental","2025-03-07","Elizabeth Ibal","Local","Marchas del 8M en Guadalajara serán resguardadas por 450 oficiales mujeres de la Policía Vial","Fotografía","Nota informativa","Neutral","N/A","Sí","Banderas;Colores","No","","No contiene","","No","","Sí","Observadores","No","","No","","No","","No",""
"2025/04/07 11:44:55 AM CST","Diego Aguirre","2025-04-07","Arquimedios","2025-04-09","Jorge Rocha","Local","Las mujeres en Guadalajara","Fotografía","Nota informativa","Neutral","N/A","No","","No","","No contiene","","No","","No","","No","","No","","No","","No",""
"2025/04/07 11:48:43 AM CST","Diego Aguirre","2025-04-07","Arquimedios","2025-03-02","Michelle Fletes Robles","Local","¿Cómo entender la marcha del 8M?","Fotografía","Nota informativa","Positiva","Ayuda a entender cómo funciona el día.","No","Colores","No","","No contiene","","No","","No","","No","","No","","No","","No",""
